Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1909,de,Rice,,,1909/02/26,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1909,de,Chauriere,,,1909/03/03,Luftschraube aus Holz,Lilienthal museum,Luftschraube aus Holz,,1,,,,,,,,
1909,de,Chauriere,,,1909/03/03,Luftschraube aus Holz,Lilienthal museum,Luftschraube aus Holz,,1,,,,,,,,
1909,de,Kohut,,,1909/03/06,Verfahren und Einrichtungen zum Antrieb der Flügel von Flügelfliegern,Lilienthal museum,Verfahren und Einrichtungen zum Antrieb der Flügel von Flügelfliegern,,1,,,,,,,,
1909,de,Michael,,,1909/03/16,Einrichtung zur Erziehlung einer Kreisenden und achsial schwingenden Bewegung von Schlagflügeln an L,Lilienthal museum,Einrichtung zur Erziehlung einer Kreisenden und achsial schwingenden Bewegung von Schlagflügeln an L,,1,,,,,,,,
1909,de,Muttl,,,1909/03/17,Apparat zum Fortbewegen von Flugmaschinen,Lilienthal museum,Apparat zum Fortbewegen von Flugmaschinen,,1,,,,,,,,
1909,de,Crocco,,,1909/03/20,Dämpfungsvorrichtung für Luft- und Wasserfahrzeuge,Lilienthal museum,Dämpfungsvorrichtung für Luft- und Wasserfahrzeuge,,1,,,,,,,,
1909,de,Bleriot,,,1909/03/22,Flüssigkeitskühler für Motoren von Luftschiffen und Flugmaschinen,Lilienthal museum,Flüssigkeitskühler für Motoren von Luftschiffen und Flugmaschinen,,1,,,,,,,,
1909,de,Claus,,,1909/04/02,Flügelrad,Lilienthal museum,Flügelrad,,1,,,,,,,,
1909,de,Krüger,,,1909/4/28,Schraubenflieger mit vom Umfange aus angetriebenen Hubschrauben,Lilienthal museum,Schraubenflieger mit vom Umfange aus angetriebenen Hubschrauben,,1,,,,,,,,
1909,de,Motorluftschiff-Studienge,,,1909/4/29,Einrichtung zur selbstätigen Bewegung des Höhensteuers an Flugzeugen,Lilienthal museum,Einrichtung zur selbstätigen Bewegung des Höhensteuers an Flugzeugen,,1,,,,,,,,
1909,de,Nowka,,,1909/4/30,Flugmaschine mit seitlich angeordneten Tragflächen,Lilienthal museum,Flugmaschine mit seitlich angeordneten Tragflächen,,1,,,,,,,,
1909,de,Means,,,1909/05/21,Einrichtung zur Abgabe von Signalen von Flugmaschinen oder dergl.,Lilienthal museum,Einrichtung zur Abgabe von Signalen von Flugmaschinen oder dergl.,,1,,,,,,,,
1909,de,Strieffler,,,1909/05/24,Verbesserung zum Patent 227242,Lilienthal museum,Verbesserung zum Patent 227242,,1,,,,,,,,
1909,de,Bucher,,,1909/06/11,Linsenförmiges Luftschiff,Lilienthal museum,Linsenförmiges Luftschiff,,1,,,,,,,,
1909,de,Kropp,,,1909/06/22,Wendeflügelrad,Lilienthal museum,Wendeflügelrad,,1,,,,,,,,
1909,de,"Wright, O.",,,1909/07/15,"Steuer für Flugmaschinen, bei welchem Vorderkante und Hinterkante gegen den Wind in verschiedenem Winkel einstellbar sind",Lilienthal museum,"Steuer für Flugmaschinen, bei welchem Vorderkante und Hinterkante gegen den Wind in verschiedenem Winkel einstellbar sind",,1,,,,,,,,
1909,de,Richter,,,1909/07/22,Zusammensetzbare Spielzeugbrücke,Lilienthal museum,Zusammensetzbare Spielzeugbrücke,,1,,,,,,,,
1909,de,Richter,,,1909/07/22,In beliebigem Winkel mittels verschieden langer Versteifungen feststellbarer Dachstuhl für Spielzeugbauten,Lilienthal museum,In beliebigem Winkel mittels verschieden langer Versteifungen feststellbarer Dachstuhl für Spielzeugbauten,,1,,,,,,,,
1909,de,Seiler,,,1909/07/23,Drachenflieger mit an den Verspannungsgliedern des Gerüstes aufgespannten und kastendrachenförmigen Tragflächengruppen,Lilienthal museum,Drachenflieger mit an den Verspannungsgliedern des Gerüstes aufgespannten und kastendrachenförmigen Tragflächengruppen,,1,,,,,,,,
1909,de,"Hoedt ; Bom, Wilhelmina ; Somers, Bernadus (Breda, Netherlands)",,236695,1909/07/28,Air screw about its longitudinal axis and moving to achieve a steering effect during Uml,Lilienthal museum,Luftschraube mit um ihre Längsachse beweglichen und zur Erzielung einer Ruderwirkung während des Uml,,1,,,,,,,,
1909,de,Brendel,,,1909/08/05,Gestell für Tragflächen,Lilienthal museum,Gestell für Tragflächen,,1,,,,,,,,
1909,de,"Groß, A.",,,1909/08/05,Schraube für Luftfahrzeuge,Lilienthal museum,Schraube für Luftfahrzeuge,,1,,,,,,,,
1909,de,Reiszner,,,1909/08/12,screw propeller,Lilienthal museum,Schraubenpropeller,,1,,,,,,,,
1909,de,Drotschmann,,,1909/08/23,Luftschraube mit durch Schwunggewichte beeinflußte Flügelflächen,Lilienthal museum,Luftschraube mit durch Schwunggewichte beeinflußte Flügelflächen,,1,,,,,,,,
1909,de,Seilhammer,,,1909/08/23,"Baumaterial für Luftfahr- und Flugzeuge, bestehend aus galvanisch oder elektrolytisch metallplattiertem Holze",Lilienthal museum,"Baumaterial für Luftfahr- und Flugzeuge, bestehend aus galvanisch oder elektrolytisch metallplattiertem Holze",,1,,,,,,,,
1909,de,Schwarting,,,1909/08/24,Flugrad mit Faltflügeln,Lilienthal museum,Flugrad mit Faltflügeln,,1,,,,,,,,
1909,de,Neubert,,,1909/08/26,Wendeflügelrad,Lilienthal museum,Wendeflügelrad,,1,,,,,,,,
1909,de,Hayot,,,1909/08/28,Flugzeug mit an Gelenkparallelogrammen angeordneten Tragflächen,Lilienthal museum,Flugzeug mit an Gelenkparallelogrammen angeordneten Tragflächen,,1,,,,,,,,
1909,de,Rheinische Metallwaren,,,1909/09/01,Startvorrichtung für Flugmaschinen,Lilienthal museum,Startvorrichtung für Flugmaschinen,,1,,,,,,,,
1909,de,Wysocki,,,1909/09/01,Körperendigungen zur Beseitigung des achsialen Widerstandes von Flüssigkeiten bei Fortbewegung der Körper in denselben,Lilienthal museum,Körperendigungen zur Beseitigung des achsialen Widerstandes von Flüssigkeiten bei Fortbewegung der Körper in denselben,,1,,,,,,,,
1909,de,Brunsmann,,,1909/09/13,Antrieb für Ruderflugapparate,Lilienthal museum,Antrieb für Ruderflugapparate,,1,,,,,,,,
1909,de,Cserhati,,,1909/09/16,Antrieb für Schlagflügel,Lilienthal museum,Antrieb für Schlagflügel,,1,,,,,,,,
1909,de,Protin,,,1909/09/30,Flugzeug mit nach vorn und hinten beweglichen Flügeln,Lilienthal museum,Flugzeug mit nach vorn und hinten beweglichen Flügeln,,1,,,,,,,,
1909,de,Gettmann,,,1909/10/01,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1909,de,Ruthenberg,,,1909/10/09,Pralluftschiff mit Kielgerüst,Lilienthal museum,Pralluftschiff mit Kielgerüst,,1,,,,,,,,
1909,de,Dziuk,,,1909/10/14,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1909,de,Schütz,,,1909/10/15,Vorrichtung zur Höhen und Seitensteuerung für Luftfahrzeuge,Lilienthal museum,Vorrichtung zur Höhen und Seitensteuerung für Luftfahrzeuge,,1,,,,,,,,
1909,de,Gerdes,,,1909/10/21,Flugmaschine mit verstellbaren Tragflächen,Lilienthal museum,Flugmaschine mit verstellbaren Tragflächen,,1,,,,,,,,
1909,de,Mannesmann,,,1909/10/21,"Durchsichtige Schutzwand für Flugzeuge, Automobile und a.",Lilienthal museum,"Durchsichtige Schutzwand für Flugzeuge, Automobile und a.",,1,,,,,,,,
1909,de,"Koch, O.",,,1909/10/23,Wendevorrichtung für die Schlagfläche eines Flügelrades,Lilienthal museum,Wendevorrichtung für die Schlagfläche eines Flügelrades,,1,,,,,,,,
1909,de,Eiane,,,1909/10/24,Flugzeug mit gemeinsam mit der Tragfläche schwenkbaren Propellern,Lilienthal museum,Flugzeug mit gemeinsam mit der Tragfläche schwenkbaren Propellern,,1,,,,,,,,
1909,de,Rohde,,,1909/10/26,Flugmaschine mit in der Flugrichtung und senkrecht zu derselben streichenden Flächen,Lilienthal museum,Flugmaschine mit in der Flugrichtung und senkrecht zu derselben streichenden Flächen,,1,,,,,,,,
1909,de,Michau,,,1909/11/17,Flugzeug mit Schlagflügeln,Lilienthal museum,Flugzeug mit Schlagflügeln,,1,,,,,,,,
1909,de,Wagner,,,1909/11/20,Luftschiff mit einem aus verstellbaren Einzelballons bestehenden Tragkörper,Lilienthal museum,Luftschiff mit einem aus verstellbaren Einzelballons bestehenden Tragkörper,,1,,,,,,,,
1909,de,Lebreil,,,1909/11/25,Flugzeug mit quer zur Flugrichtung gewölbten Tragflächen und vorn gelagerter schwenkbarer Schraube,Lilienthal museum,Flugzeug mit quer zur Flugrichtung gewölbten Tragflächen und vorn gelagerter schwenkbarer Schraube,,1,,,,,,,,
1909,de,Arnoux (Paris),,254892,1909/11/27,Airplane (probably),Lilienthal museum,Flugzeug,,1,,,,,,,,
1909,de,Räuber,,,1909/11/29,Apparatus for twisting of flapping wings,Lilienthal museum,Vorrichtung zum Verwinden von Schlagflügeln,,1,,,,,,,,
1909,de,Mees,,,1909/12/08,Drachenflieger mit Hubschraube,Lilienthal museum,Drachenflieger mit Hubschraube,,1,,,,,,,,
1909,de,Drotschmann,,,1909/12/14,Luftschraube mit vergrößerter Flügelfläche,Lilienthal museum,Luftschraube mit vergrößerter Flügelfläche,,1,,,,,,,,
1909,de,Materne,,,1909/12/14,Flugzeug mit Schlagflügeln,Lilienthal museum,Flugzeug mit Schlagflügeln,,1,,,,,,,,
1909,de,Sohlmann,,,1909/12/14,Flugzeug mit Höhensteuerfläche vor der Haupttragfläche,Lilienthal museum,Flugzeug mit Höhensteuerfläche vor der Haupttragfläche,,1,,,,,,,,
1910,de,Havel,,,1910/01/11,Anordnung von zwei oder mehreren Motoren in einer Flugmaschine,Lilienthal museum,Anordnung von zwei oder mehreren Motoren in einer Flugmaschine,,1,,,,,,,,
1910,de,Voigt,,,1910/01/30,"Flugvorrichtung mit vorn unter der Tragfläche angebrachten, vorn scharf zulaufendem und hinten stumpf abschließendem Hohlkörper",Lilienthal museum,"Flugvorrichtung mit vorn unter der Tragfläche angebrachten, vorn scharf zulaufendem und hinten stumpf abschließendem Hohlkörper",,1,,,,,,,,
1910,de,Junkers,,,1910/02/01,Gleitflieger mit zur Aufnahme von nicht Auftrieb erzeugenden teilen dienenden Hohlkörpern,Lilienthal museum,Gleitflieger mit zur Aufnahme von nicht Auftrieb erzeugenden teilen dienenden Hohlkörpern,,1,,,,,,,,
1910,de,"Behrens (Tacoma, Washington, US)",,258744,1910/02/10,"Aircraft with two oppositely directed, together about a vertical axis adjustable screws and in the transverse direction arched wing",Lilienthal museum,"Flugzeug mit zwei gegenläufigen, gemeinsam um eine senkrechte Achse verstellbaren Schrauben und in der Querrichtung gewölbter Tragfläche",,1,,,,,,,,
1910,de,Borrmann,,,1910/02/14,Holzpropeller für Luftfahrzeuge,Lilienthal museum,Holzpropeller für Luftfahrzeuge,,1,,,,,,,,
1910,de,Cadel,,,1910/02/15,Flugmaschine mit in der Längsrichtung verlaufenden Gleichgewichtsflächen und in der Längsachse lieger Antriebsschraube,Lilienthal museum,Flugmaschine mit in der Längsrichtung verlaufenden Gleichgewichtsflächen und in der Längsachse lieger Antriebsschraube,,1,,,,,,,,
1910,de,Mathy,,,1910/02/15,Flugzeug mit sich kreuzenden Tragflächen,Lilienthal museum,Flugzeug mit sich kreuzenden Tragflächen,,1,,,,,,,,
1910,de,Ruhland,,,1910/02/15,Halbstarres Luftschiff,Lilienthal museum,Halbstarres Luftschiff,,1,,,,,,,,
1910,de,Mees,,,1910/02/16,Drachenflieger mit Hubschraube,Lilienthal museum,Drachenflieger mit Hubschraube,,1,,,,,,,,
1910,de,Brink,,,1910/02/23,Flugzeug mit dem gleichzeitig mit der Tragfläche auch eine Schwanzfläche verstellt wird,Lilienthal museum,Flugzeug mit dem gleichzeitig mit der Tragfläche auch eine Schwanzfläche verstellt wird,,1,,,,,,,,
1910,de,Grawert,,,1910/03/05,Propeller für Wasser-und Luftschiffe,Lilienthal museum,Propeller für Wasser-und Luftschiffe,,1,,,,,,,,
1910,de,"Blair (Aeroplane Syndicate Limited, London)",,259067,1910/04/03,Flugzeug,Lilienthal museum,Flugzeug,,1,,,,,,,,
1910,de,Blair,,250224,1910/04/03,"Aircraft having rearwardly extending, superposed wings","Lilienthal museum ; ""Zusatz zum Patent 249794""  -- source: http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3135","Flugzeug mit nach rückwärts sich erstreckenden, übereinander angeordneten Flügeln",,1,,,,,,,,
1910,de,Blair,,249794,1910/04/03,  ASK FOR HELP FROM ANDREA,"Lilienthal museum ; ""Ort: im deutschen Reiche"" -- http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3136",  ,,1,,,,,,,,
1910,de,Nuro,,,1910/04/14,Starres Luftschiff mit zwei in der Längsachse liegenden zylindrischen miteinander durch Balg und Fed,Lilienthal museum,Starres Luftschiff mit zwei in der Längsachse liegenden zylindrischen miteinander durch Balg und Fed,,1,,,,,,,,
1910,de,Harrimam,,,1910/04/19,"Flugzeug mit paarweise angeordneten, um die Flugzeuglängsachse bewegbaren Tragflächen",Lilienthal museum,"Flugzeug mit paarweise angeordneten, um die Flugzeuglängsachse bewegbaren Tragflächen",,1,,,,,,,,
1910,de,Stettin,,,1910/06/03,Hubpropeller mit in ihrer Neigung verstellbaren Flügeln,Lilienthal museum,Hubpropeller mit in ihrer Neigung verstellbaren Flügeln,,1,,,,,,,,
1910,de,Michelin Société,,,1910/06/08,Stoff für Ballons und Flugzeuge,Lilienthal museum,Stoff für Ballons und Flugzeuge,,1,,,,,,,,
1910,de,Miksch,,,1910/06/23,Flugzeug mit Ausbiegungen in den hinteren Tragflächenteilen,Lilienthal museum,Flugzeug mit Ausbiegungen in den hinteren Tragflächenteilen,,1,,,,,,,,
1910,de,Krähe,,,1910/06/25,Gleitflieger mit zwei nur an ihren Seiten zusammengefügten Flächen,Lilienthal museum,Gleitflieger mit zwei nur an ihren Seiten zusammengefügten Flächen,,1,,,,,,,,
1910,de,Romme,,,1910/07/12,Flugzeug mit ringförmiger Tragfläche,Lilienthal museum,Flugzeug mit ringförmiger Tragfläche,,1,,,,,,,,
1910,de,Penteado,,,1910/07/22,Flugzeug,Lilienthal museum,Flugzeug,,1,,,,,,,,
1910,de,Euler,,,1910/07/24,Flugzeug mit Maschinengewehr,Lilienthal museum,Flugzeug mit Maschinengewehr,,1,,,,,,,,
1910,de,Ehrler,,,1910/08/02,Flugmaschine mit an den Enden der Tragflächen angeordneten und um eine zur Flugrichtung schräge Achse drehbaren Stabilisierungsflächen,Lilienthal museum,Flugmaschine mit an den Enden der Tragflächen angeordneten und um eine zur Flugrichtung schräge Achse drehbaren Stabilisierungsflächen,,1,,,,,,,,
1910,de,Hündchen,,,1910/08/02,Luftschiff mit drehbarer Gondel und mit zum Fortbewegen sowie zum Steuern dienender Schrauben,Lilienthal museum,Luftschiff mit drehbarer Gondel und mit zum Fortbewegen sowie zum Steuern dienender Schrauben,,1,,,,,,,,
1910,de,Reymond,,,1910/09/10,Propeller zur Erzeugung einer fortschreitenden und zugleich aufsteigenden Bewegung,Lilienthal museum,Propeller zur Erzeugung einer fortschreitenden und zugleich aufsteigenden Bewegung,,1,,,,,,,,
1910,de,"Schmidt, O.",,,1910/09/25,"Propellerflügel für Schraubenflieger, die derart verstellbar sind, daß sie beim Antreiben durch besondere Vortriebsmittel in horizontaler Richtung als Tragflächen wirken",Lilienthal museum,"Propellerflügel für Schraubenflieger, die derart verstellbar sind, daß sie beim Antreiben durch besondere Vortriebsmittel in horizontaler Richtung als Tragflächen wirken",,1,,,,,,,,
1910,de,Klepsch,,,1910/10/05,Flugzeug mit Schlagflügeln,Lilienthal museum,Flugzeug mit Schlagflügeln,,1,,,,,,,,
1910,de,Peters,,,1910/11/11,"Schraubenflieger mit mehreren kleinen, rasch umlaufenden Tragschrauben und unterhalb der Mittelebene",Lilienthal museum,"Schraubenflieger mit mehreren kleinen, rasch umlaufenden Tragschrauben und unterhalb der Mittelebene",,1,,,,,,,,
1910,de,Katsch,,,1910/11/13,Ruderflügel für Flugzeuge,Lilienthal museum,Ruderflügel für Flugzeuge,,1,,,,,,,,
1910,de,Wedekind,,,1910/11/20,Motorluftschiff mit während der Fahrt lösbarer Gondel,Lilienthal museum,Motorluftschiff mit während der Fahrt lösbarer Gondel,,1,,,,,,,,
1910,de,Axien (Hamburg),,256787,1910/11/24,Turning vane for aircraft whose wings derive their turning motion of the wheel-wide through a reduction gear of 2:1,Lilienthal museum: http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3110,"Wendeflügelrad für Flugzeuge, dessen Flügel ihre Wendebewegung von der Radweite durch ein Übersetzungsgetriebe von 2:1 ableiten",,1,,,,,,,,
1910,de,"Bissell (Pittsburg, Penn., US)",,262779,1910/12/14,Airplane with a steering shaft supported by a drive screw,Lilienthal museum,Flugzeug mit einer von einer Lenkwelle getragenen Antriebsschraube,,1,,,,,,,,
1910,de,Hamann,,,1910/12/20,Flugzeug mit allseitig schwingbar gelagerten Tragflächen,Lilienthal museum,Flugzeug mit allseitig schwingbar gelagerten Tragflächen,,1,,,,,,,,
1910,de,Mühter,,,1910/12/29,Schwingenflugzeug,Lilienthal museum,Schwingenflugzeug,,1,,,,,,,,
1910,de,Euler,,,1910/07,Flugzeug mit starr eingebautem Maschinengewehr,Lilienthal museum,Flugzeug mit starr eingebautem Maschinengewehr,,1,,,,,,,,
1911,de,Palmgren,,,1911/01/19,Flugmaschine mit an der Tragfläche mittels Scharniere drehbar angeordneten Flügeln,Lilienthal museum,Flugmaschine mit an der Tragfläche mittels Scharniere drehbar angeordneten Flügeln,,1,,,,,,,,
1911,de,Ruegenberg,,,1911/02/15,"Flugzeug, bei welchem sich eine Gruppe von gleichmäßig zur Längsachse des Flugzeuges gelegenen Tragflächen um eine in der Flugrichtung liegende Achse frei drehen kann",Lilienthal museum,"Flugzeug, bei welchem sich eine Gruppe von gleichmäßig zur Längsachse des Flugzeuges gelegenen Tragflächen um eine in der Flugrichtung liegende Achse frei drehen kann",,1,,,,,,,,
1911,de,Marcel,,,1911/03/11,Schraubenflieger mit durch biegsame Wellen angetriebenen Schrauben,Lilienthal museum,Schraubenflieger mit durch biegsame Wellen angetriebenen Schrauben,,1,,,,,,,,
1911,de,Cousin,,,1911/03/23,Flugzeug,Lilienthal museum,Flugzeug,,1,,,,,,,,
1911,de,Luftschiffbau Veeh GmbH,,,1911/04/21,"Luftschiff mit unter der Hülle befestigtem, die Antriebs- und Steuerorgane sowie die Gondel tragendem Versteifungsgerüst",Lilienthal museum,"Luftschiff mit unter der Hülle befestigtem, die Antriebs- und Steuerorgane sowie die Gondel tragendem Versteifungsgerüst",,1,,,,,,,,
1911,de,"Lilienthal, G.",,,1911/05/24,A method for producing hollow plate walls with mortar stems,Lilienthal museum,Verfahren zur Herstellung von hohlen Plattenwänden mit Mörtelstielen,,1,,,,,,,,
1911,de,Lengfellner,,,1911/07/15,Flugzeug mit einem hinter einer festen Tragfläche angeordneten Flügelpaar,Lilienthal museum,Flugzeug mit einem hinter einer festen Tragfläche angeordneten Flügelpaar,,1,,,,,,,,
1911,de,Brumund,,,1911/07/20,"Flugzeug mit sternförmig angeordneten, um die Flugzeuglängsachse frei bewglichen Tragflächen",Lilienthal museum,"Flugzeug mit sternförmig angeordneten, um die Flugzeuglängsachse frei bewglichen Tragflächen",,1,,,,,,,,
1911,de,Klämbt,,,1911/07/25,Flugzeug mit seitlich stufenförmig übereinanderliegenden verstellbaren Tragflächen,Lilienthal museum,Flugzeug mit seitlich stufenförmig übereinanderliegenden verstellbaren Tragflächen,,1,,,,,,,,
1911,de,"Bach ; Schrader, Richard (Hagen i. W.)",,253744,1911/09/13,Aircraft with gas-carrying members arranged between wings,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3111,Luftfahrzeug mit zwischen Gastragkörpern angeordneten Tragflächen,,1,,,,,,,,
1912,de,Luftschiffantrieb GmbH,,,1912/02/18,Halbstarres Luftschiff mit als Gondel ausgebildetem Kiel,Lilienthal museum,Halbstarres Luftschiff mit als Gondel ausgebildetem Kiel,,1,,,,,,,,
1912,de,Ellehammer,,,1912/03/02,Schraubenflieger,Lilienthal museum,Schraubenflieger,,1,,,,,,,,
1912,de,Kizchen,,,1912/03/19,Flugzeug mit ringförmigen Tragflächen,Lilienthal museum,Flugzeug mit ringförmigen Tragflächen,,1,,,,,,,,
1912,de,Kleiner,,,1912/05/11,"Flugzeug, dessen Tragflächen um eine quer zur Flugrichtung und um je eine in der Flugrichtung liegen",Lilienthal museum,"Flugzeug, dessen Tragflächen um eine quer zur Flugrichtung und um je eine in der Flugrichtung liegen",,1,,,,,,,,
1912,de,Garner,,,1912/05/24,"Flugzeug mit um senkrechte Achsen schwenkbaren Tragflächen, bei deren Verschwenkung gleichzeitig eine Schwanzfläche verstellt wird",Lilienthal museum,"Flugzeug mit um senkrechte Achsen schwenkbaren Tragflächen, bei deren Verschwenkung gleichzeitig eine Schwanzfläche verstellt wird",,1,,,,,,,,
1912,de,Rusche,,,1912/06/13,Starres Luftschiff mit in Einzelkammern angeordneten Gaszellen,Lilienthal museum,Starres Luftschiff mit in Einzelkammern angeordneten Gaszellen,,1,,,,,,,,
1912,de,Siemens-Schuckert Werke,,,1912/09/19,Luftschiff mit an Stoffbahnen aufgehängten Gondeln,Lilienthal museum,Luftschiff mit an Stoffbahnen aufgehängten Gondeln,,1,,,,,,,,
1913,de,company Ges-Johannisthal Berlin,Group 5 DE77h,290935,1913/07/29,air-traffic-act  with each plane carrying folding blankets,http://www.profilm.de/insel/mieten/Luftfahrt4.php; 4 pages A4,Flugzeug mit aufeinanderklappbaren Tragdecken,,1,,,,,,,,
1913,de,German Aircraft GmbH in Lindenthal,Group 5 DE77h,293130,1913/12/16,strut fitting to aircraft,http://www.profilm.de/insel/mieten/Luftfahrt4.php; 2 pages A4,Strebenbefestigung an Flugzeugen,,1,,,,,,,,
1913,de,"Lilienthal, A.",,,1913,?,Lilienthal museum,?,,1,,,,,,,,
1913,de,"Lilienthal, G.",,,1913,?,Lilienthal museum,?,,1,,,,,,,,
1913,de,"Lilienthal, G.",,,1913,?,Lilienthal museum,?,,1,,,,,,,,
1913,de,Richter,,,1913/03/09,Bauspielzeug-Verbindungsstück zur Nachahmung der Knotenpunktverbindungen bei Eisenkonstruktionen,Lilienthal museum,Bauspielzeug-Verbindungsstück zur Nachahmung der Knotenpunktverbindungen bei Eisenkonstruktionen,,1,,,,,,,,
1913,de,Linhart,,,1913/03/21,Aircraft with wing panels around a common transverse axis and with adjustable longitudinal axis,Lilienthal museum,Flugzeug dessen Tragflächenhälften um eine gemeinsame Querachse und je eine Längsachse verstellt werden können,,1,,,,,,,,
1913,de,"Lilienthal, G.",,,1913/04/22,Bird-like wings wing aircraft with front thickening,Lilienthal museum,Vogelflügelartige Tragfläche für Flugzeuge mit vorderer Verdickung,,1,,,,,,,,
1913,de,"Lilienthal, G.",,,1913/04/22,Bird-like wings wing aircraft with front thickening,Lilienthal museum,Vogelflügelartige Tragfläche für Flugzeuge mit vorderer Verdickung,,1,,,,,,,,
1913,de,"Lilienthal, G.",,,1913/04/22,Bird-like wings wing aircraft with front thickening,Lilienthal museum,Vogelflügelartige Tragfläche für Flugzeuge mit vorderer Verdickung,,1,,,,,,,,
1913,de,Weiger,,,1913/05/20,"Flugzeug, dessen Tragflächen um in der Flugrichtung liegende Achsen schwingbar angeordnet sind",Lilienthal museum,"Flugzeug, dessen Tragflächen um in der Flugrichtung liegende Achsen schwingbar angeordnet sind",,1,,,,,,,,
1913,de,Richter,,,1913/06/06,Verbindungsmittel für Baukastensteine,Lilienthal museum,Verbindungsmittel für Baukastensteine,,1,,,,,,,,
1913,de,Strümpel,,,1913/10/15,Flugzeug mit in Form eines Kreuzes zueinander gerichteten Tragflächen,Lilienthal museum,Flugzeug mit in Form eines Kreuzes zueinander gerichteten Tragflächen,,1,,,,,,,,
1913,de,Richter,,,1913/10/30,Bauelemente für Fachwerkbaukasten,Lilienthal museum,Bauelemente für Fachwerkbaukasten,,1,,,,,,,,
1913,de,Richter,,,1913/11/16,Verbindung von Knotenblechen und Flachstreben bei Bauspielzeugen,Lilienthal museum,Verbindung von Knotenblechen und Flachstreben bei Bauspielzeugen,,1,,,,,,,,
1914,de,Albatros Werke Berlin-Johannisthal,DE77h group 5,295838,1914/07/07,stalk attaching the mounting wings of airplanes,http://www.profilm.de/insel/mieten/Luftfahrt4.php; 3 pages A4,Stielbefestigung der Tragflächenbefestigung an Flugzeugen,,1,,,DE1914-295838,,,,,
1914,de,Rumpler-Werke GmbH Berlin Johannisthal,Group 5 DE77h,300049,1914/08/01,adjustment of the tilt angle of the wings of multi-deckers,http://www.profilm.de/insel/mieten/Luftfahrt4.php,Verstellmöglichkeit des Anstellwinkels von Tragflächen von Mehrdeckern,,1,,,,,,,,
1914,de,"Lilienthal, G.",,,1914,?,Lilienthal museum,?,,1,,,,,,,,
1914,de,"Lilienthal, G.",,,1914/04/23,Blister tape for three-piece steel handles,Lilienthal museum,Gurtstück für dreiteilige Blechstiele,,1,,,,,,,,
1914,de,Eisenmann,,,1914/11/07,Flugzeug mit hintereinander angeordneten Tragdecken,Lilienthal museum,Flugzeug mit hintereinander angeordneten Tragdecken,,1,,,,,,,,
1915,de,"Dornier, Claude; Zeppelin G.m.b.H.",Group 3 Class 37b,298584,1915/08/26,strap-on wooden beams ...,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 6 A4 pages including sketch","Gurtstab für Holzträger ...,",,1,,,,,,,,
1915,de,Rumpler GmbH Berlin Johannisthal,DE77h group 5,300009,1915/02/05,Junction design for ceiling mounting of multi-deckers,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 2 pages text + diagram",Knotenpunktkonstruktion für Tragdecken von Mehrdeckern,,1,,,,,,,,
1915,de,Zeppelin GmbH in punting at Spandau,DE77h group 7,324003,1915/08/19,skeleton wings for aircraft,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 4 pages A4 sketch",Tragflächengerippe für Flugzeuge,,1,,,,,,,,
1916,de,Rumpler GmbH Berlin Johannisthal,DE77h Group 5,317912,1916/10/27,"corner of aircraft m. split-beam,","http://www.profilm.de/insel/mieten/Luftfahrt4.php, 4 A4 pages including sketch", Eckverbindung für Flugzeuge m. geteiltem Holm,,1,,,,,,,,
1916,de,Lindau and Claudius Dornier Zeppelin factory,77h Class Group 15,318412,"
'1916/09/01",drop profile for bars,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 4 A4 pages including sketch",Tropfenprofil für Holme,,1,,,,,,,,
1916,de,"Lilienthal, G.",,,1916/04/06,Covering of roofs with turf,Lilienthal museum,Eindeckung von Dächern mit Torf,,1,,,,,,,,
1916,de,Richter,,,1916/11/05,Baustein,Lilienthal museum,Baustein,,1,,,,,,,,
1916,de,Zeppelin and Friedrichshafen Oscar Wilcke,,,1916/09/12,electrical bomb release device for airships,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 6 pages (3 pages of text, 2 pages sketch)",elektrische Bombenabwurfvorrichtung für Luftschiffe,,1,,,,,,,,
1916,de,"Zeppelin and Claudius Dornier, Friedrichshafen",,,1916/12/06,2-piece hollow rod for taping of light beams,"http://www.profilm.de/insel/mieten/Luftfahrt4.php, 6 pages (3 pages text, 1 page sketch)",2-teiliger Hohlstab für Gurtung von Leichtträgern,,1,,,,,,,,
