"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1860,"br","Stevens, Charles",,1598," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1860,"br","Silas, Ferdinand",,3103," ","Signalling with balloons","BA1893",,"Signalling with balloons",,1,,,,
1861,"br","James, William Henry",,492," ","Application of balloons","BA1893",,"Application of balloons",,1,,,,
1861,"br","Jacob, Joseph",,593," ","Hydrogen gas","BA1893",,"Hydrogen gas",,1,,,,
1861,"br","Ponton d'Amecourt, Gustave Louis Marie, Viscount de",,1929," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1861,"br","Jacob, Joseph",,2377," ","Hydrogen gas","BA1893",,"Hydrogen gas",,1,,,,
1861,"br","Phillips, Joseph Scott",,2420," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1861,"br","Brown, David Stephens",,2529," ","Propelling and sustaining balloons","BA1893",,"Propelling and sustaining balloons",,1,,,,
1862,"br","Crestadoro, Andrea",,1786," ","Fire balloon","BA1893",,"Fire balloon",,1,,,,
1863,"br","Gedge, William Edward",,867," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1863,"br","Ludeke, Johann Ernst Friedrich",,2028," ","Suspending cameras from balloons","BA1893",,"Suspending cameras from balloons",,1,,,,
1863,"br","Weldon, Walter",,2141," ","Balloon","BA1893",,"Balloon",,1,,,,
1863,"br","Newton, William Edward",,2959," ","Balloons","BA1893",,"Balloons",,1,,,,
1863,"br","De Saint Martin, Henry Reda",,3284," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1864,"br","Davies, George",,298," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1864,"br","Brooman, Richard Archibald",,591," ","Captive balloons","BA1893",,"Captive balloons",,1,,,,
1864,"br","Gedge, William Edward",,748," ","Metal balloon","BA1893",,"Metal balloon",,1,,,,
1864,"br","Clark, William",,1982," ","India-rubber balloons","BA1893",,"India-rubber balloons",,1,,,,
1864,"br","Brooman, Richard Archibald",,2030," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1864,"br","Hammond, Thomas Rundle",,2245," ","Drawing balloons","BA1893",,"Drawing balloons",,1,,,,
1864,"br","Mennons, Marc Antoine Francois",,2299," ","Flying machines","BA1893",,"Flying machines",,1,,,,
1865,"br","Haenlein, Paul",,930," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1865,"br","Rothleb, Gustave Wilhelm",,1037," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1865,"br","Laroche, Leon Paul",,1953," ","Fire-engines and hydraulic machines","BA1893",,"Fire-engines and hydraulic machines",,1,,,,
1865,"br","Bonneville, Henri Adrien",,2208," ","Flying toys and parachutes","BA1893",,"Flying toys and parachutes",,1,,,,
1865,"br","Clark, William",,3283," ","Directing the course of balloons","BA1893",,"Directing the course of balloons",,1,,,,
1866,"br","Butler, James William",,1143," ","Manumotive flying machine","BA1893",,"Manumotive flying machine",,1,,,,
1866,"br","Boyman, Richard Boyman",,1497," ","Propelling vessels","Brewer and Alexander, 1893/1965",,"Propelling vessels",,1,,,,
1866,"br","Wenham, Francis Herbert",,1571," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1866,"br","Boulton, Matthew Piers Watt",,2489," ","Propelling aerial vessels","BA1893",,"Propelling aerial vessels",,1,,,,
1866,"br","Boulton, Matthew Piers Watt",,2809," ","Propelling aerial vessels","Brewer and Alexander, 1893/1965",,"Propelling aerial vessels",,1,,,,
1866,"br","Boyman, Richard Boyman",,3262," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1867,"br","Henry, Michael",,466," ","Balloons","BA1893",,"Balloons",,1,,,,
1867,"br","Kaufmann, Joseph Meyers",,473," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1867,"br","Boulton, Matthew Piers Watt",,696," ","Propelling vessels","BA1893",,"Propelling vessels",,1,,,,
1867,"br","Smyth, William",,1392," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1867,"br","Kaufmann, Joseph Meyers",,1525," ","Apparatus connected with flying machines","BA1893",,"Apparatus connected with flying machines",,1,,,,
1867,"br","Craddock, Thomas",,1982," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1867,"br","Butler, James William and Edmund Edwards",,2115," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1867,"br","Boyman, Richard Boyman",,2223," ","Propulsion","BA1893",,"Propulsion",,1,,,,
1867,"br","Nelson, James Edward",,2229," ","Navigable aerostat","BA1893",,"Navigable aerostat",,1,,,,
1867,"br","Goucher, John",,2397," ","Propelling","BA1893",,"Propelling",,1,,,,
1867,"br","Smythies, John Kinnersley",,2504," ","Steam flying machine","BA1893",,"Steam flying machine",,1,,,,
1867,"br","Henry, Michael",,3036," ","Balloons","BA1893",,"Balloons",,1,,,,
1868,"br","Boulton, Matthew Piers Watt",,392," ","Propelling aerial machines","Brewer and Alexander, 1893/1965",,"Propelling aerial machines",,1,,,,
1868,"br","Masey, Philip Edward",,412," ","Steam flying machine","BA1893",,"Steam flying machine",,1,,,,
1868,"br","Hullett, John",,568," ","Employment of kites and balloons","BA1893",,"Employment of kites and balloons",,1,,,,
1868,"br","Boulton, Matthew Piers Watt, and John Imray",,1005," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1868,"br","Spencer, Charles Green",,1178," ","Manumotive flying machine","BA1893",,"Manumotive flying machine",,1,,,,
1868,"br","Hammant, William",,1666," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1868,"br","Crestadoro, Andrea",,1815," ","Hot-air balloon","BA1893",,"Hot-air balloon",,1,,,,
1868,"br","Boyman, Richard Boyman",,1881," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1868,"br","Newton, William Edward",,1987," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1868,"br","Livchak, Josef",,2162," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1868,"br","Hunter, John Morrison",,2680," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1868,"br","Grylls, Henry William",,3677," ","Spring-motor for aerial machines","BA1893",,"Spring-motor for aerial machines",,1,,,,
1869,"br","Abel, Charles Denton",,1124," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1869,"br","Michel, Marius",,1769," ","Employing birds for flying","BA1893",,"Employing birds for flying",,1,,,,
1869,"br","Noble, William Henry",,2827," ","Navigable ballons","BA1893",,"Navigable ballons",,1,,,,
1870,"br","Boyman, Richard Boyman",,623," ","Propelling by reaction","BA1893",,"Propelling by reaction",,1,,,,
1870,"br","Harte, Richard",,1469," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1870,"br","Ross, William Murray",,2040," ","Propusion","BA1893",,"Propusion",,1,,,,
1870,"br","Brannon, Philip",,3272," ","Balloons","BA1893",,"Balloons",,1,,,,
1871,"br","Osselin, Francois Alfred",,728," ","Obtaining and applying motive power","BA1893",,"Obtaining and applying motive power",,1,,,,
1871,"br","Boyman, Richard Boyman",,944," ","Ships and propulsion","BA1893",,"Ships and propulsion",,1,,,,
1871,"br","Hunt, Bristow",,2031," ","Aerial machine","BA1893",,"Aerial machine",,1,,,,
1871,"br","Rieber, Juan",,2781," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1871,"br","Wilson, George",,3067," ","Motive power","BA1893",,"Motive power",,1,,,,
1871,"br","Moy, Thomas, and Shill, Richard Edmund",,3238," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1872,"br","Brown, David Stephens",,411," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1872,"br","Soul, Matthew Augustus",,821," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1872,"br","Duthu, Jean Baptiste",,3076," ","Steering balloons","BA1893",,"Steering balloons",,1,,,,
1873,"br","Brown, David Stephens",,2346," ","Motors","BA1893",,"Motors",,1,,,,
1873,"br","Martin, Margaret",,2776," ","Balloons","BA1893",,"Balloons",,1,,,,
1873,"br","Fleury, Albert",,3309," ","Steering parachute","BA1893",,"Steering parachute",,1,,,,
1873,"br","Vaughan, Edward Primerose Howard",,4154," ","Advertising balloons","BA1893",,"Advertising balloons",,1,,,,
1873,"br","Gaveau, Jean Charles",,4255," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1873,"br","Browne, John Collis",,4279," ","Propelling balloons","BA1893",,"Propelling balloons",,1,,,,
1874,"br","De Vogt, Henric Christian",,81," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1874,"br","Ridley, Joseph Douglas",,777," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1874,"br","Menier, Jean Sebastien Anacharsis",,1144," ","Fire balloons","BA1893",,"Fire balloons",,1,,,,
1874,"br","Moy, Thomas",,2808," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1874,"br","Baggs, Isham",,2821," ","Balloons","BA1893",,"Balloons",,1,,,,
1874,"br","Lake, William Robert",,3058," ","Hydrogen apparatus","BA1893",,"Hydrogen apparatus",,1,,,,
1874,"br","Simmons, Joseph",,3132," ","Fire balloons","BA1893",,"Fire balloons",,1,,,,
1874,"br","Hime, Frederick",,3177," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1874,"br","Watt, Alexander",,3831," ","Balloons","BA1893",,"Balloons",,1,,,,
1874,"br","Alexander, Edwin Powley",,3996," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1875,"br","Cave, John O'Connell",,140," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1875,"br","Clark, Alexander Melville",,169," ","Kites","BA1893",,"Kites",,1,,,,
1875,"br","Simmons, Joseph, and Joseph Matthew Morris",,289," ","Purifying gas","BA1893",,"Purifying gas",,1,,,,
1875,"br","Boulton, Matthew Piers Watt",,574," ","Generator","BA1893",,"Generator",,1,,,,
1875,"br","Menier, Jean Sebastien Anacharsis",,1690," ","Balloons","BA1893",,"Balloons",,1,,,,
1875,"br","Simmons, Joseph",,2428," ","Kite","BA1893",,"Kite",,1,,,,
1875,"br","Biddle, Daniel",,2901," ","Sails for balloons","BA1893",,"Sails for balloons",,1,,,,
1875,"br","McKee, Henry",,2979," ","Balloons","BA1893",,"Balloons",,1,,,,
1875,"br","Jensen, Peter",,3315," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1875,"br","Smythies, John Kinnersley",,4151," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1875,"br","Sanderson, John George Emilius",,4523," ","Propeller","BA1893",,"Propeller",,1,,,,
1876,"br","Buchanan, John",,327," ","Propelling","BA1893",,"Propelling",,1,,,,
1876,"br","Snow, Josiah John",,439," ","Kite parachute","BA1893",,"Kite parachute",,1,,,,
1876,"br","Runkel, Marc",,2393," ","Balloons","BA1893",,"Balloons",,1,,,,
1877,"br","Menier, Jean Sebastien Anacharsis",,603," ","Aerial toy","BA1893",,"Aerial toy",,1,,,,
1877,"br","Balleni, Henri, and John Webber Payne",,924," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1877,"br","Moy, Thomas",,1406," ","Boilers and engines","BA1893",,"Boilers and engines",,1,,,,
1877,"br","Woodbury, Walter Bentley",,1647," ","Balloon photography","BA1893",,"Balloon photography",,1,,,,
1877,"br","Lake, William Robert",,2313," ","Balloons","BA1893",,"Balloons",,1,,,,
1877,"br","Rogers, Charles Ogle",,3814," ","Aerial battery","BA1893",,"Aerial battery",,1,,,,
1877,"br","Brannon, Philip",,3974," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1878,"br","Jackson, William",,513," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1878,"br","Heathorn, Thomas Bridges",,939," ","Jet propulsion","BA1893",,"Jet propulsion",,1,,,,
1878,"br","Atkin, Robert",,943," ","Aerial vessel","BA1893",,"Aerial vessel",,1,,,,
1878,"br","Haddan, Herbert John",,1328," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1878,"br","Haddan, Herbert John",,1827," ","Naigating balloons","BA1893",,"Naigating balloons",,1,,,,
1878,"br","Vaughan, Edward Primerose Howard",,2039," ","Balloons","BA1893",,"Balloons",,1,,,,
1878,"br","Sample, James",,2421," ","Propeller","BA1893",,"Propeller",,1,,,,
1878,"br","Brewer, Edward Griffith",,3228," ","Hydrogen generator","BA1893",,"Hydrogen generator",,1,,,,
1878,"br","Atkin, Robert",,3546," ","Aerial vessel","BA1893",,"Aerial vessel",,1,,,,
1878,"br","Kesseler, Carl",,4104," ","Balloons","BA1893",,"Balloons",,1,,,,
1878,"br","Smyth, James Stewart",,4268," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1878,"br","Newbold, Henry",,4332," ","Balloons","BA1893",,"Balloons",,1,,,,
1878,"br","Jackson, William",,4757," ","Balloons","BA1893",,"Balloons",,1,,,,
1879,"br","Abel, Charles Denton",,409," ","Propellers","BA1893",,"Propellers",,1,,,,
1879,"br","Brewer, Edward Griffith",,594," ","Hydrogen generator","BA1893",,"Hydrogen generator",,1,,,,
1879,"br","Dillon, Thomas Arthur",,1207," ","Electric light on balloons","BA1893",,"Electric light on balloons",,1,,,,
1879,"br","Buckham, William Peruano",,1879," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1879,"br","Pearse, Edward Arthur",,2229," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1879,"br","Brearey, Frederick William",,2376," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1879,"br","Wise, William Lloyd",,3779," ","Aeroplane balloon","BA1893",,"Aeroplane balloon",,1,,,,
1879,"br","Simon, Henry",,3997," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1880,"br","Lake, William Robert",,985," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1880,"br","Hill, Micaiah",,1776," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1880,"br","Bonneville, Henri Adrien",,4701," ","Balloons","BA1893",,"Balloons",,1,,,,
1880,"br","Hime, Frederick",,4839," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1880,"br","Stevenson, Robert",,4871," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1881,"br","Martin, Thomas",,122," ","Captive balloon","BA1893",,"Captive balloon",,1,,,,
1881,"br","Capel, Thomas John, and De la Pauze, Alfred",,430," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1881,"br","Wirth, Frank",,807," ","Navigating balloon","BA1893",,"Navigating balloon",,1,,,,
1881,"br","Brewer, Edward Griffith",,1195," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1881,"br","Vaughan, George Edward",,1710," ","Balloons","BA1893",,"Balloons",,1,,,,
1881,"br","Hutchinson, William Nelson",,1879," ","Balloons","BA1893",,"Balloons",,1,,,,
1881,"br","Johnson, John Henry",,3401," ","Propelling balloons","BA1893",,"Propelling balloons",,1,,,,
1881,"br","Van de Kerkhove, Auguste Henry, and Snyers, Theodore",,3561," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1881,"br","Blackman, Albert Livingstone",,3691," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1881,"br","Kinnear, Frederick Constantine",,4684," ","Signalling balloons","BA1893",,"Signalling balloons",,1,,,,
1881,"br","Edwards, Edmund",,4887," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1882,"br","Lake, William Robert","LTA",31," ","Balloons","BA1893",,"Balloons",,1,,,,
1882,"br","Smythies, John Kinnersley",,34," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1882,"br","Lake, Arthur Wellesley",,1229," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1882,"br","Boult, Alfred Julius","LTA",1737," ","Balloon","BA1893",,"Balloon",,1,,,,
1882,"br","Wilkins, Frederick","LTA",1772," ","Balloons","BA1893",,"Balloons",,1,,,,
1882,"br","Boult, Alfred Julius","LTA",2509," ","Balloons","BA1893",,"Balloons",,1,,,,
1882,"br","Green, Upfield","LTA",4387," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1882,"br","Maughan, Benjamin Waddy, and Samuel Danks Waddy",,4585," ","Propeller","BA1893",,"Propeller",,1,,,,
1882,"br","Fisher, Joseph Alfred, and Charles Green Spencer","LTA",4908," ","Fire balloons","BA1893",,"Fire balloons",,1,,,,
1882,"br","Templer, James","LTA; photog",4954," ","Balloon photography","BA1893",,"Balloon photography",,1,,,,
1882,"br","Koch, Gustav.; Jensen, P.","Balloon",5251,"applied for: 1882/11/03","Navigable balloon (dirigible)","BA1893 ; Neilson 1910, p15 ; check what dates are given in BA1893 ; Koch is the inventor and P. Jensen is probably a patent agent, per Neilson (p70 and 72)",,"Navigable balloon",,1,"1882/11/3",,,
1883,"br","Lake, William Robert",,518," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1883,"br","Maughan, Benjamin Waddy, and Samuel Danks Waddy",,1552," ","Flying machine and motor","BA1893",,"Flying machine and motor",,1,,,,
1883,"br","De Telescheff, Nicolas",,1824," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1883,"br","Sjostrom, Per",,2264," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1883,"br","Wellner, Georg",,2715," ","Balloon","BA1893",,"Balloon",,1,,,,
1883,"br","Imray, Harold",,4055," ","Propelling aerial machines","BA1893",,"Propelling aerial machines",,1,,,,
1883,"br","Delaurier, E. J.; Johnson, J.H.","propulsion",4245,"applied for: 1883/09/03","Steam jet for propulsion of aerial machines","Neilson, 1910 p15, 70, 72; Johnson's probably the UK patent agent",,"Propelling aerial machines",,1,,,,"UK1883-4245"
1884,"br","Smythies, John Kinnersley",,7," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1884,"br","Lake, William Robert",,2057," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1884,"br","Quartermain, William",,2339," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1884,"br","Haddan, Herbert John",,2469," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1884,"br","Cornelius, William",,2589," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1884,"br","Ballian, Serkis-Bey",,2628," ","Navigable balloon and parachute","BA1893",,"Navigable balloon and parachute",,1,,,,
1884,"br","Duff, Robert Low",,2879," ","Captive war balloons","BA1893",,"Captive war balloons",,1,,,,
1884,"br","Wirth, Frank",,5621," ","Propeller","BA1893",,"Propeller",,1,,,,
1884,"br","Gower, Frederic Allen",,11301," ","War balloon","BA1893",,"War balloon",,1,,,,
1884,"br","Hilfreich, Francis",,11994," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1884,"br","Smart, George Edward",,12503," ","Propellers","BA1893",,"Propellers",,1,,,,
1884,"br","Phillips, Horatio Frederick","airfoil",13768,"1884/10/17","Blades for deflecting air; multi-planes, with camber","BA1893; Neilson p15,16; see also patent UK1891-13311",,"Blades for deflecting air",,1,,,,"UK1884-13768"
1884,"br","Armour, James",,14038," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1884,"br","Boult, Alfred Julius",,15023," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1885,"br","Lake, William Robert",,1549," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1885,"br","Clark, Alexander Melville",,4618," ","War balloons","BA1893",,"War balloons",,1,,,,
1885,"br","Henderson, Arthur Charles",,5118," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1885,"br","Bruce, Eric Stuart",,5854," ","Balloon signalling","BA1893",,"Balloon signalling",,1,,,,
1885,"br","Bate, Henry",,7727," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1885,"br","Hutchinson, William Nelson",,8567," ","Testing screw propellers","BA1893",,"Testing screw propellers",,1,,,,
1885,"br","Owen, Richard George",,9193," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1885,"br","Austin, Charles Edward, and William Burchell",,9472," ","Propelling balloons","BA1893",,"Propelling balloons",,1,,,,
1885,"br","Prestwich, William Henry",,9585," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1885,"br","Griffiths, Thomas","propulsion",10068,"1885/08/25","Propelling balloons; jet nozzles ejecting gases","Neilson, p16",,"Propelling balloons",,1,"1885/08/25",,,"UK1885-10068"
1885,"br","Winkler, August",,11158," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1885,"br","Lake, William Robert",,14827," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1885,"br","Archibald, Edmund Douglas",,15627," ","Kite-balloon","BA1893",,"Kite-balloon",,1,,,,
1886,"br","Ybargiotia, Felipe Modet e",,1821," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1886,"br","Waelde, Jacob",,1830," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1886,"br","Redfern, George Frederick",,7015," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1886,"br","Molesworth-Hepworth, Edward Newall",,7837," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1886,"br","Hutchinson, William Nelson",,8051," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1886,"br","Clark, Alexander Melville",,9452," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1886,"br","Lemmon, Sydney",,13901," ","Aerial machine","BA1893",,"Aerial machine",,1,,,,
1887,"br","Haddan, Herbert John",,316," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1887,"br","Hutchinson, William Nelson",,5644," ","Propelling balloons","BA1893",,"Propelling balloons",,1,,,,
1887,"br","Johnson, James Yate",,8182," ","Jet propulsion","BA1893",,"Jet propulsion",,1,,,,
1887,"br","Gustafson, Wald",,8255," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1887,"br","Ribeiro, Joaquim Ignacio",,8386," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1887,"br","Norman, John James",,9665," ","Inflating fire-balloons","BA1893",,"Inflating fire-balloons",,1,,,,
1887,"br","Thompson, William Phillips",,11941," ","Propelling and regulating","BA1893",,"Propelling and regulating",,1,,,,
1887,"br","Lane, Howard",,15567," ","Making balloons","BA1893",,"Making balloons",,1,,,,
1888,"br","Parkinson, George Seaborn",,508," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1888,"br","Apraxin, Count Anton",,4552," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1888,"br","Gaggino, Giovanni",,5742," ","Navigable balloons","BA1893",,"Navigable balloons",,1,,,,
1888,"br","Beugger, John",,9448," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1888,"br","Middleton, Henry",,9725," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1888,"br","Farini, Guillermo Antonio, and Thomas Scott Baldwin",,10937," ","Parachute","BA1893",,"Parachute",,1,,,,
1888,"br","Lorrain, James Grieve",,11354," ","Electrical propulsion","BA1893",,"Electrical propulsion",,1,,,,
1888,"br","Hilfreich, Francis",,12736," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1888,"br","Monteith, Joseph",,14610," ","Balloon railway","BA1893",,"Balloon railway",,1,,,,
1889,"br","Worms, James",,47," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1889,"br","Edwards, Edmund",,1671," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1889,"br","Craig, John",,3360," ","Flying machine","BA1893",,"Flying machine",,1,,,,
1889,"br","Bastard, William John",,3957," ","Navigable balloon","BA1893",,"Navigable balloon",,1,,,,
1889,"br","Dale, William Duncombe",,4301," ","Balloon parachute","BA1893",,"Balloon parachute",,1,,,,
