Year granted,Where filed,Inventor(s),Tech field,Patent #,more date info,Title/summary in English,Sources,Notes,Original language patent title (or closest available info),Supplementary to patent ,related to aircraft?,date applied for,date granted,Serial no.,Global patent id,Assigned to [name (fraction); place],Patent agent,National/Local,International,
1853,br,"De Normandy, Alphonse Rene Le Mire",,395,ÿ,Articles made of Gutta-percha,BA1893,,Articles made of Gutta-percha,,1,,,,,,,,,
1854,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,224,ÿ,Aerial navigation,BA1893,,Aerial navigation,,1,,,,,,,,,
1854,br,"Boboeuf, Pierre Alexis Francisse",,759,ÿ,Balloons for military purposes,BA1893,,Balloons for military purposes,,1,,,,,,,,,
1854,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,1224,ÿ,Locomotion on land and water,BA1893,,Locomotion on land and water,,1,,,,,,,,,
1854,br,"Dartiguenave, Prosper Guilhamme",,1334,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1854,br,"Luff, Henry James",,2447,ÿ,War balloon,BA1893,,War balloon,,1,,,,,,,,,
1855,br,"Johnson, John Henry",,206,ÿ,Kites,BA1893,,Kites,,1,,,,,,,,,
1855,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,625,ÿ,Aerial navigation,BA1893,,Aerial navigation,,1,,,,,,,,,
1855,br,"Curtis, William Joseph",,1136,ÿ,Balloons and kites,BA1893,,Balloons and kites,,1,,,,,,,,,
1856,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,2062,ÿ,Aerial navigation,BA1893,,Aerial navigation,,1,,,,,,,,,
1856,br,"Lassie, Jean; Finsbury, London; b. Paris",LTA,2154,Err:520,Navigable balloon,BA1893,,A new system of aerial navigation,,1,,,,,,,,,
1856,br,"Pellen, Marius",,2256,ÿ,Coating for balloons,BA1893,,Coating for balloons,,1,,,,,,,,,
1856,br,"Carlingford, Godwin Meade Pratt Swift, Viscount",,2993,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1857,br,"Aldborough, Benjamin O'Neale Stratford, Earl of",,1054,ÿ,Aerial navigation,BA1893,,Aerial navigation,,1,,,,,,,,,
1857,br,"Clair, Joseph Etienne Marie Jean",,1581,ÿ,Propeller,BA1893,,Propeller,,1,,,,,,,,,
1857,br,"Balboni, Pascal",,2483,ÿ,Propeller,BA1893,,Propeller,,1,,,,,,,,,
1859,br,"Bright, Henry",helicopter,2330,ÿ,Coaxial rotor,BA1893,,Flying machines,,1,,,,,,,,,
1860,br,"Smythies, John Kinnersley",,561,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1860,br,"Henry, Michael",,1114,ÿ,Propelling and steering,BA1893,,Propelling and steering,,1,,,,,,,,,
1860,br,"Boyman, Richard Boyman",,1155,ÿ,Motive power,BA1893,,Motive power,,1,,,,,,,,,
1860,br,"Stevens, Charles ; (Rabbat, C.F.)",,1598,ÿ,Navigable balloons,BA1893; N1910 p71,recheck; does BA1893 acknowledge Rabbat?,Navigable balloons,,1,,,,,,,,,
1860,br,"Silas, Ferdinand",,3103,ÿ,Signalling with balloons,BA1893,,Signalling with balloons,,1,,,,,,,,,
1861,br,"James, William Henry",,492,ÿ,Application of balloons,BA1893,,Application of balloons,,1,,,,,,,,,
1861,br,"Jacob, Joseph",,593,ÿ,Hydrogen gas,BA1893,,Hydrogen gas,,1,,,,,,,,,
1861,br,"Ponton d'Amecourt, Gustave Louis Marie, Viscount de",,1929,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1861,br,"Jacob, Joseph",,2377,ÿ,Hydrogen gas,BA1893,,Hydrogen gas,,1,,,,,,,,,
1861,br,"Phillips, Joseph Scott",,2420,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1861,br,"Brown, David Stephens",,2529,ÿ,Propelling and sustaining balloons,BA1893,,Propelling and sustaining balloons,,1,,,,,,,,,
1862,br,"Crestadoro, Andrea",,1786,ÿ,Fire balloon,BA1893,,Fire balloon,,1,,,,,,,,,
1863,br,"Gedge, William Edward",,867,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1863,br,"Ludeke, Johann Ernst Friedrich",,2028,ÿ,Suspending cameras from balloons,BA1893,,Suspending cameras from balloons,,1,,,,,,,,,
1863,br,"Weldon, Walter",,2141,ÿ,Balloon,BA1893,,Balloon,,1,,,,,,,,,
1863,br,"Newton, William Edward",,2959,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1863,br,"De Saint Martin, Henry Reda",,3284,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1864,br,"Davies, George",,298,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1864,br,"Brooman, Richard Archibald",,591,ÿ,Captive balloons,BA1893,,Captive balloons,,1,,,,,,,,,
1864,br,"Gedge, William Edward",,748,ÿ,Metal balloon,BA1893,,Metal balloon,,1,,,,,,,,,
1864,br,"Clark, William",,1982,ÿ,India-rubber balloons,BA1893,,India-rubber balloons,,1,,,,,,,,,
1864,br,"Brooman, Richard Archibald ; (Couturier, C.E.F.)",,2030,ÿ,Flying machine,BA1893; N1910 p71,recheck; does BA1893 acknowledge Couturier?,Flying machine,,1,,,,,,,,,
1864,br,"Hammond, Thomas Rundle",,2245,ÿ,Drawing balloons,BA1893,,Drawing balloons,,1,,,,,,,,,
1864,br,"Mennons, Marc Antoine Francois",,2299,ÿ,Flying machines,BA1893,,Flying machines,,1,,,,,,,,,
1864,br,"Fontaine-Moreau, P.A., Comte de ; (Nesmond, P.C.)",,2464,,,"N1910, p71",subject unknown but listed by Neilson,,,1,,,,,,,,,
1865,br,"Haenlein, Paul",,930,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1865,br,"Rothleb, Gustave Wilhelm",,1037,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1865,br,"Laroche, Leon Paul",,1953,ÿ,Fire-engines and hydraulic machines,BA1893,,Fire-engines and hydraulic machines,,1,,,,,,,,,
1865,br,"Bonneville, Henri Adrien",,2208,ÿ,Flying toys and parachutes,BA1893,,Flying toys and parachutes,,1,,,,,,,,,
1865,br,"Clark, William",,3283,ÿ,Directing the course of balloons,BA1893,,Directing the course of balloons,,1,,,,,,,,,
1866,br,"Butler, James William",,1143,ÿ,Manumotive flying machine,BA1893; N1910 p71,,Manumotive flying machine,,1,,,,,,,,,
1866,br,"Boyman, Richard Boyman",,1497,ÿ,Propelling vessels,BA1893,,Propelling vessels,,1,,,,,,,,,
1866,br,"Wenham, Francis Herbert",,1571,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1866,br,"Boulton, Matthew Piers Watt",,2489,ÿ,Propelling aerial vessels,BA1893; N1910 p71,,Propelling aerial vessels,,1,,,,,,,,,
1866,br,"Boulton, Matthew Piers Watt",,2809,ÿ,Propelling aerial vessels,BA1893,,Propelling aerial vessels,,1,,,,,,,,,
1866,br,"Boyman, Richard Boyman",,3262,ÿ,Navigable balloon,BA1893; N1910 p71,,Navigable balloon,,1,,,,,,,,,
1867,br,"Henry, Michael",,466,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1867,br,"Kaufmann, Joseph Meyers",,473,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1867,br,"Boulton, Matthew Piers Watt",,696,ÿ,Propelling vessels,BA1893; N1910 p71,,Propelling vessels,,1,,,,,,,,,
1867,br,"Smyth, William",,1392,ÿ,Flying machine,BA1893; N1910 p71 ; also apparently Lilienthal museum web site,,Flying machine,,1,,,,,,,,,
1867,br,"Kaufmann, Joseph Meyers",,1525,ÿ,Apparatus connected with flying machines,BA1893; N1910 p71,,Apparatus connected with flying machines,,1,,,,,,,,,
1867,br,"Craddock, Thomas",,1982,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1867,br,"Butler, James William and Edmund Edwards",,2115,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1867,br,"Boyman, Richard Boyman",,2223,ÿ,Propulsion,BA1893,,Propulsion,,1,,,,,,,,,
1867,br,"Nelson, James Edward",,2229,ÿ,Navigable aerostat,BA1893; N1910 p71,,Navigable aerostat,,1,,,,,,,,,
1867,br,"Goucher, John",,2397,ÿ,Propelling,BA1893,,Propelling,,1,,,,,,,,,
1867,br,"Smythies, John Kinnersley",,2504,ÿ,Steam flying machine,BA1893; N1910 p71,,Steam flying machine,,1,,,,,,,,,
1867,br,"Henry, Michael",,3036,ÿ,Balloons,BA1893; N1910 p71,,Balloons,,1,,,,,,,,,
1868,br,"Boulton, Matthew Piers Watt",,392,ÿ,Propelling aerial machines,BA1893; N1910 p71,,Propelling aerial machines,,1,,,,,,,,,
1868,br,"Masey, Philip Edward",,412,ÿ,Steam flying machine,BA1893; N1910 p71,,Steam flying machine,,1,,,,,,,,,
1868,br,"Hullett, John",,568,ÿ,Employment of kites and balloons,BA1893; N1910 p71,,Employment of kites and balloons,,1,,,,,,,,,
1868,br,"Boulton, Matthew Piers Watt, and John Imray",,1005,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1868,br,"Spencer, Charles Green",,1178,ÿ,Manumotive flying machine,BA1893; N1910 p71,,Manumotive flying machine,,1,,,,,,,,,
1868,br,"Hammant, William",,1666,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1868,br,"Crestadoro, Andrea",,1815,ÿ,Hot-air balloon,BA1893,,Hot-air balloon,,1,,,,,,,,,
1868,br,"Boyman, Richard Boyman",,1881,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1868,br,"Newton, William Edward",,1987,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1868,br,"Boulton, Mattew Piers Watt",,1988,,,"N1910, p71",,,,1,,,,,,,,,
1868,br,"Livchak, Josef",,2162,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1868,br,"Hunter, John Morrison",,2680,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1868,br,"Grylls, Henry William",,3677,ÿ,Spring-motor for aerial machines,BA1893,,Spring-motor for aerial machines,,1,,,,,,,,,
1869,br,"Abel, Charles Denton ; (Jombart, E.)",,1124,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1869,br,"Michel, Marius",,1769,ÿ,Employing birds for flying,BA1893; N1910 p71,,Employing birds for flying,,1,,,,,,,,,
1869,br,"Noble, William Henry ; (Marriott, F.)",,2827,ÿ,Navigable ballons,BA1893; N1910 p71,,Navigable ballons,,1,,,,,,,,,
1870,br,"Villeneuve, A.H. de",,440,,,N1910 p71,,,,1,,,,,,,,,
1870,br,"Boyman, Richard Boyman",,623,ÿ,Propelling by reaction,BA1893,,Propelling by reaction,,1,,,,,,,,,
1870,br,"Harte, Richard",,1469,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1870,br,"Ross, William Murray",,2040,ÿ,Propusion,BA1893; N1910 p71,,Propusion,,1,,,,,,,,,
1870,br,"Brannon, Philip",,3272,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1871,br,"Osselin, Francois Alfred",,728,ÿ,Obtaining and applying motive power,BA1893; N1910 p71,,Obtaining and applying motive power,,1,,,,,,,,,
1871,br,"Boyman, Richard Boyman",,944,ÿ,Ships and propulsion,BA1893,,Ships and propulsion,,1,,,,,,,,,
1871,br,"Hunt, Bristow",,2031,ÿ,Aerial machine,BA1893,,Aerial machine,,1,,,,,,,,,
1871,br,"Rieber, Juan",,2781,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1871,br,"Wilson, George",,3067,ÿ,Motive power,BA1893; N1910 p71,,Motive power,,1,,,,,,,,,
1871,br,"Moy, Thomas, and Shill, Richard Edmund",,3238,ÿ,Flying machine,BA1893; N1910 p71,"N1910 spells the last name ""Shil""",Flying machine,,1,,,,,,,,,
1872,br,"Brown, David Stephens",,411,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1872,br,"Soul, Matthew Augustus; (Haenlein, P.)",,821,ÿ,Navigable balloons,BA1893; N1910 p71,,Navigable balloons,,1,,,,,,,,,
1872,br,"Duthu, Jean Baptiste",,3076,ÿ,Steering balloons,BA1893,,Steering balloons,,1,,,,,,,,,
1873,br,"Brown, David Stephens",,2346,ÿ,Motors,BA1893; N1910 p71,,Motors,,1,,,,,,,,,
1873,br,"Gedge, W.E. ; (Frville, E.)",,2396,,,BA1893; N1910 p71,,,,,,,,,,,,,
1873,br,"Martin, Margaret",,2776,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1873,br,"Wirth, Frank ; (Beins, H.)",,3194,,,"N1910, p71","name Wirth, F.; I assume Frank, who appears elsewhere in this list",,,1,,,,,,,,,
1873,br,"Fleury, Albert",,3309,ÿ,Steering parachute,BA1893; N1910 p71,,Steering parachute,,1,,,,,,,,,
1873,br,"Vaughan, Edward Primerose Howard",,4154,ÿ,Advertising balloons,BA1893,,Advertising balloons,,1,,,,,,,,,
1873,br,"Gaveau, Jean Charles",,4255,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1873,br,"Browne, John Collis",,4279,ÿ,Propelling balloons,BA1893,,Propelling balloons,,1,,,,,,,,,
1874,br,"Vogt, Henric Christian de",,81,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1874,br,"Monckton, E. H. C.",,265,,,"N1910, p71",,,,1,,,,,,,,,
1874,br,"Ridley, Joseph Douglas",,777,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1874,br,"Menier, Jean Sebastien Anacharsis",,1144,ÿ,Fire balloons,BA1893,,Fire balloons,,1,,,,,,,,,
1874,br,"Moy, Thomas",,2808,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1874,br,"Baggs, Isham",,2821,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1874,br,"Lake, William Robert",,3058,ÿ,Hydrogen apparatus,BA1893,,Hydrogen apparatus,,1,,,,,,,,,
1874,br,"Simmons, Joseph",,3132,ÿ,Fire balloons,BA1893,,Fire balloons,,1,,,,,,,,,
1874,br,"Hime, Frederick",,3177,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1874,br,"Watt, Alexander",,3831,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1874,br,"Alexander, Edwin Powley",,3996,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1875,br,"Cave, John O'Connell",,140,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1875,br,"Clark, Alexander Melville",,169,ÿ,Kites,BA1893,,Kites,,1,,,,,,,,,
1875,br,"Simmons, Joseph, and Joseph Matthew Morris",,289,ÿ,Purifying gas,BA1893,,Purifying gas,,1,,,,,,,,,
1875,br,"Boulton, Matthew Piers Watt",,574,ÿ,Generator,BA1893; N1910 p71,,Generator,,1,,,,,,,,,
1875,br,"Menier, Jean Sebastien Anacharsis",,1690,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1875,br,"Simmons, Joseph",,2428,ÿ,Kite,BA1893,,Kite,,1,,,,,,,,,
1875,br,"Biddle, Daniel",,2901,ÿ,Sails for balloons,BA1893,,Sails for balloons,,1,,,,,,,,,
1875,br,"McKee, Henry",,2979,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1875,br,"Jensen, Peter",,3315,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1875,br,"Smythies, John Kinnersley",,4151,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1875,br,"Sanderson, John George Emilius",,4523,ÿ,Propeller,BA1893,,Propeller,,1,,,,,,,,,
1876,br,"Buchanan, John",,327,ÿ,Propelling,BA1893,,Propelling,,1,,,,,,,,,
1876,br,"Snow, Josiah John",,439,ÿ,Kite parachute,BA1893,,Kite parachute,,1,,,,,,,,,
1876,br,"Runkel, Marc",,2393,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1877,br,"Menier, Jean Sebastien Anacharsis",,603,ÿ,Aerial toy,BA1893,,Aerial toy,,1,,,,,,,,,
1877,br,"Balleni, Henri, and John Webber Payne",,924,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1877,br,"Moy, Thomas",,1406,ÿ,Boilers and engines,BA1893,,Boilers and engines,,1,,,,,,,,,
1877,br,"Woodbury, Walter Bentley",,1647,ÿ,Balloon photography,BA1893,,Balloon photography,,1,,,,,,,,,
1877,br,"Lake, William Robert",,2313,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1877,br,"Rogers, Charles Ogle",,3814,ÿ,Aerial battery,BA1893,,Aerial battery,,1,,,,,,,,,
1877,br,"Brannon, Philip",,3974,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1878,br,"Jackson, William",,513,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1878,br,"Heathorn, Thomas Bridges",,939,ÿ,Jet propulsion,BA1893,,Jet propulsion,,1,,,,,,,,,
1878,br,"Atkin, Robert",,943,ÿ,Aerial vessel,BA1893,,Aerial vessel,,1,,,,,,,,,
1878,br,"Haddan, Herbert John",,1328,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1878,br,"Haddan, Herbert John",,1827,ÿ,Naigating balloons,BA1893,,Naigating balloons,,1,,,,,,,,,
1878,br,"Vaughan, Edward Primerose Howard",,2039,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1878,br,"Sample, James",,2421,ÿ,Propeller,BA1893,,Propeller,,1,,,,,,,,,
1878,br,"Brewer, Edward Griffith",,3228,ÿ,Hydrogen generator,BA1893,,Hydrogen generator,,1,,,,,,,,,
1878,br,"Brewer, Edward Griffith ; (Bastien, J.B.)",,3346,,,"N1910, p71",,,,1,,,,,,,,,
1878,br,"Atkin, Robert",,3546,ÿ,Aerial vessel,BA1893,,Aerial vessel,,1,,,,,,,,,
1878,br,"Kesseler, Carl",,4104,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1878,br,"Smyth, James Stewart",,4268,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1878,br,"Newbold, Henry",,4332,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1878,br,"Jackson, William",,4757,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1879,br,"Abel, Charles Denton",,409,ÿ,Propellers,BA1893,,Propellers,,1,,,,,,,,,
1879,br,"Brewer, Edward Griffith",,594,ÿ,Hydrogen generator,BA1893,,Hydrogen generator,,1,,,,,,,,,
1879,br,"Dillon, Thomas Arthur",,1207,ÿ,Electric light on balloons,BA1893,,Electric light on balloons,,1,,,,,,,,,
1879,br,"Buckham, William Peruano",,1879,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1879,br,"Pearse, Edward Arthur",,2229,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1879,br,"Brearey, Frederick William",,2376,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1879,br,"Wise, William Lloyd",,3779,ÿ,Aeroplane balloon,BA1893,,Aeroplane balloon,,1,,,,,,,,,
1879,br,"Simon, Henry",,3997,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1880,br,"Lake, William Robert",,985,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1880,br,"Hill, Micaiah",,1776,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1880,br,"Bonneville, Henri Adrien",,4701,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1880,br,"Hime, Frederick",,4839,ÿ,Flying machine,BA1893,,Flying machine,,1,,,,,,,,,
1880,br,"Stevenson, Robert",,4871,ÿ,Flying machine,BA1893; N1910 p71,,Flying machine,,1,,,,,,,,,
1881,br,"Martin, Thomas",,122,ÿ,Captive balloon,BA1893,,Captive balloon,,1,,,,,,,,,
1881,br,"Capel, Thomas John ; la Pauze, Alfred de",,430,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1881,br,"Wirth, Frank",,807,ÿ,Navigating balloon,BA1893,,Navigating balloon,,1,,,,,,,,,
1881,br,"Brewer, Edward Griffith",,1195,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1881,br,"Vaughan, George Edward",,1710,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1881,br,"Hutchinson, William Nelson",,1879,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1881,br,"Johnson, John Henry",,3401,ÿ,Propelling balloons,BA1893,,Propelling balloons,,1,,,,,,,,,
1881,br,"Kerkhove, Auguste Henry van de ; Snyers, Theodore",,3561,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1881,br,"Blackman, Albert Livingstone",,3691,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1881,br,"Kinnear, Frederick Constantine",,4684,ÿ,Signalling balloons,BA1893,,Signalling balloons,,1,,,,,,,,,
1881,br,"Edwards, Edmund",,4887,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1882,br,"Lake, William Robert",LTA,31,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1882,br,"Smythies, John Kinnersley",,34,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1882,br,"Hyatt, T.",,1229,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,"Lake, Arthur Wellesley ",,,
1882,br,"Boult, Alfred Julius",LTA,1737,ÿ,Balloon,BA1893,,Balloon,,1,,,,,,,,,
1882,br,"Wilkins, Frederick",LTA,1772,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1882,br,"Boult, Alfred Julius",LTA,2509,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1882,br,"Green, Upfield",LTA,4387,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1882,br,"Maughan, Benjamin Waddy, and Samuel Danks Waddy",,4585,ÿ,Propeller,BA1893; N1910 p72,,Propeller,,1,,,,,,,,,
1882,br,"Fisher, Joseph Alfred, and Charles Green Spencer",LTA,4908,ÿ,Fire balloons,BA1893,,Fire balloons,,1,,,,,,,,,
1882,br,"Templer, James",LTA; photography,4954,ÿ,Balloon photography,BA1893,,Balloon photography,,1,,,,,,,,,
1882,br,"Koch, Gustav",Balloon,5251,,Navigable balloon (dirigible),"BA1893 ; Neilson 1910, p15, 72 ; check what dates are given in BA1893 ; Koch is the inventor and P. Jensen is probably a patent agent, per Neilson p70 and 72","The specfication says that air (not water) may be used to cool the gas engine, and that a pipe in the ahpe of an Archimedean screw worked by the engine to assist cooling. (says Neilson, p 15)",Navigable balloon,,1,1882/11/3,,,,,"Jensen, P.",,,
1883,br,"Lake, William Robert",,518,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1883,br,"Maughan, Benjamin Waddy, and Samuel Danks Waddy",,1552,ÿ,Flying machine and motor,BA1893; N1910 p72,,Flying machine and motor,,1,,,,,,,,,
1883,br,"De Telescheff, Nicolas",,1824,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1883,br,"Sjstrm, Per",,2264,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1883,br,"Wellner, Georg",,2715,ÿ,Balloon,BA1893,,Balloon,,1,,,,,,,,,
1883,br,"Imray, Harold",,4055,ÿ,Propelling aerial machines,BA1893,,Propelling aerial machines,,1,,,,,,,,,
1883,br,"Delaurier, E. J.",propulsion,4245,,Steam jet for propulsion and direction of aerial machines (summary),"Neilson, 1910 p15, 70, 72",Johnson's probably the UK patent agent,Propelling aerial machines,,1,1883/09/03,,,UK1883-4245,,"Johnson, J.H.",,,
1884,br,"Smythies, John Kinnersley",,7,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1884,br,"Lake, William Robert",,2057,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1884,br,"Quartermain, William",,2339,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1884,br,"Haddan, Herbert John",,2469,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1884,br,"Cornelius, William",,2589,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1884,br,"Ballian, Serkis-Bey",,2628,ÿ,Navigable balloon and parachute,BA1893,,Navigable balloon and parachute,,1,,,,,,,,,
1884,br,"Duff, Robert Low",,2879,ÿ,Captive war balloons,BA1893,,Captive war balloons,,1,,,,,,,,,
1884,br,"Wirth, Frank",,5621,ÿ,Propeller,BA1893,,Propeller,,1,,,,,,,,,
1884,br,"Kosztovits, O. I.",,5942,,,"N1910, p72",,,,1,,,,,,,,,
1884,br,"Gower, Frederic Allen",,11301,ÿ,War balloon,BA1893,,War balloon,,1,,,,,,,,,
1884,br,"Hilfreich, Francis",,11994,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1884,br,"Smart, George Edward",,12503,ÿ,Propellers,BA1893; N1910 p72,,Propellers,,1,,,,,,,,,
