Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Aerial League of the British Empire,National,,"England, GB, UK",London,"Carlton House, Regen Street, London, S.W. (at least 1910-1913); Windsor House, Kingsway, London W.C. (at least 1916-); 46 Dover Street, London, W.I. (1920)","Windora, Piccy, London (1920)",1,1909,"still exists under the name ""Air League""","1 Flight 56, 192 (1909); ""Flight"" Manual 13 (1910); 1911 Hazell's 488; Dir1920; 1913 Aviation P-B 161 (Jan. 1913); 1917 Aviation P-B 246; WorldCat.org and WorldCat-OCLC; www.airleague.co.uk; Gollin, The Impact of Air Power on the British People and Their Government, 1909-1914, p. 8 (1989); ","The Aerial League of the British Empire (occassionally called the Aerial League of Great Britain and Ireland) came into being January 1909 as an association of ""a national and non-political character, with a view of educating the people of this country as to the immediate necessity for the establishment and maintenance of a similar superioririty in the air to that which we now hold on the ocean,"" according to announcement by Col. H. S. Massy, C.B.  Pursuant to an agreement with the Aeronautical Society of Great Britain and the Aero Club of the United Kingdom in 1909, the Aerial League would be accepted as the paramount body for patriotic movements and for education in matters relating to flight and aeronautics.  The organization became ""The Air League of the British Empire"" sometime in the period 1918-1920 and later became just the ""Air League."" ","Published the Aerial League (Air League) Bulletin, 1919-1920.  Phone number given Dir1920.  (Address in the year 2010 was Broadway House, Tothill Street, London SW1H 9NS.)  ","[Must find out where 17 Feb. 1909 starting date, now erased from start column, came from as thatdoesn't match the text.  Need to review prior editions of table and/or prior sources.}",
Aerial League of the West : Ligue Aerienne de L'Ouest,Regional,"AeCF, from at least 1910",France,"Nantes, Loire Inferieure","34 Rue Fosse, Nantes (1910)",,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 325 (1 Oct. 1910),,,,
Aerial League of the World,National,,USA,,,,,1912 or earlier,,National Union Catalog Pre-1956 Imprints;," Flying, published Jan. 1912-July 1921, was the official publicaton of the ACA, AC of Illinois, AC of Pennsylvania, Aerial League of the World, and others.",, ,
"Aerial Mixed Commission : Commission Aerienne Mixte.  Appears aka Commission Auto-Aerial, Automobile Club of France : Commission Auto-Aerienne, Automobile Club de France",Special,,France,Paris,"8 Place de la Concorde, Paris (1910)",,234-23 (1910),1908,"1910, June 18","""Flight"" Manual 14 (1910); 1911 Aero-Manuel 270, 485 (1 Oct. 1910)","Created 28 Nov. 1908 by Automobile Club of France and the Aero Club of France.  Delegates came from the Automobile Club of France, the Aero Club of France, the Chamber of Commerce (Chambre Syndicale) of Aeronautic Industries, and the National Aerial League [of France].  The Commission dissolved on the formation of the Commission for Aeronautic Sports : Commission Sportive Aeronautique (C.S.A.), 18 June 1910.   "," In 1910, le Marquis de Dion was honorary president and Edouard Surcouf was president.  The 35-some members included such leading names in French aviation and automobiling as Ernest Archdeacon, Louis Bleriot, A. Clement, H. Deutsch de la Meurthe, H. Farman, and Louis Renault.  ",,
Aerial Naval League,Special,,Germany,Mannheim,,,,1909 or earlier,,1909 Motor Cyclopaedia YB 110 Misc,,,,
Aero Club Biarritz-Bayonne,Local,"AeCF, 1909",France,"Biarritz, Basses-Pyrenees",Biarritz,,,1910 or earlier,,1 Flight 67 (1909); 1910 Annuario dell' Aeronautica Primo 373 (Sept. 1910); 1911 Aero-Manuel 223 (1 Oct. 1910),"The Aviation Committee of Bayonne-Biarritz, which likely was also known as the Aero Club Biarritz-Bayone, was accepted as an affiliate of the Aero Club of France in January 1909. ",,,
Aero Club Charentais ,Local,,France,"Jarmac, Charente",,,,1910 or earlier,,1911 Aero-Manuel 223 (1 Oct. 1910); WorldCat.org and WorldCat-OCLC,Published an aerial map showing a cylindrical projection in 1910.,,,
Aero Club Dauphine : Avio Club Dauphine;  Appears aka Aero Club of Grenoble : Aero Club de Grenoble,Local,,France,"Grenoble, Isere",,,,1909 or earlier,,1909 Motor Cyclopaedia YB 110 Misc; 1911 Aero-Manuel 235 (1 Oct. 1910),,,,
Aero Club Italiana,,,USA,"New York City, New York","125 West 12th Street, New York City",,,1911,,"1912 Aircraft, 1 Jan.","Aero Club Italiano, an aero club for Italians residing in the U.S. who were interested in aviation, was formed in New York City in 1911.    ",A members' reception was held 9 Dec. 1911.  ,,
Aero Club Le Havre :        Aero Club Havrais,Local,"AeCF, from at least 1910",France,"Le Havre, Seine Interieure","41 Rue Naude, Le havre",,6-87,1908 (founding of predeces-sor-in-name),,"1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 223, 467-468 (1 Oct. 1910)","The organization founded 8 Nov 1908 as the Le Havre Society for Aviation Studies : Societe Havrais d'Etudes d'Aviation, which see, was by mid-1910 called the Aero Club Havrais.  ","Some 160 members including the administrative council and honorary members, 1910.  Honrary presidents, 1910 included the mayor of Havre and other government officials.  The administrative council, 1910, included:  Hugues, president; Grenier, Dr. Finelle, and Leon Molong, vice presidents; C. Haustete, general secretary; and Maugards, general treasurer.    ",,
Aero Club League,National,,"England, GB, UK",London,"166 Piccadilly, London, W. (1909)  ",,,1909,,"1 Flight 55, 56, 67 (1909); ""Flight"" Manual 13 (1910); ","The Aero Club League was founded no later than January 1909 as an offshoot of the Aero Club of the United Kingdom, which, after 15 Feb. 1910, was the Royal Aero Club of the United Kingdom.  For a small annual subscription fee, inventors, experiments, and other could join the Aero Club League and use of the grounds of the Aero Club.",Both men and women were admitted as members.,,
Aero Club Liege-Spa,Local,"AeCF, from at least 1910",Belgium,Liege,"2 Rue des Dominicains, Liege (1910)",,,1908,,1 Flight 4 (1909); 1911 Aero-Manuel 223 (1 Oct. 1910); 1910 Annuario dell' Aeronautica Primo 368 (Sept. 1910);,The Aero Club Liege-Spa was formed ca. December 1908 at the headquarters of the Liegeois Automobile Club. ,"Initial officers in 1908 included Emil Digneffe (or Degneffe), president; Dumoulin and Piedboeuf, vice presidents; and Chevalier Jules de Their, general secretary.  Officers in 1910 included Degneffe (or Digneffe), president; E. Gerard, vice president; and A. Redboeuf, secretary. ",,
Aero Club Lorrain,Local,"AeCF, from at least 1910",France,"Verdun, Meuse, Lorraine",,,,1910 or earlier,, 1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910);  1911 Aero-Manuel 223 (1 Oct. 1910),,,,
Aero Club Montmartre,Local,,France,Paris,"33 Boulevard Barbes, Paris",,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 372 (Sept. 1910),,,,
Aero Club of Algeria :        Aero Club d'Algerie,National,"AeCF, from at least 1910",Algeria,Alger,23 Boulevard Carnol(or Carnot) (1910),,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 373 (Sept. 1910);1911 Aero-Manuel 222 (1 Oct. 1910),,,,
Aero Club of America (ACA) (I),National Federation and Local Club,"FAI, founding member 14 Oct. 1905  ",USA,"New York City, New York","753 Fifth Avenue, New York City (1906-1907); 12 East 42nd St.(1907-1909).  Used balloon grounds in Pittsfield, Mass.  ( -1907 Aug.) and North Adams, Mass. (1907 Aug.-);   ","Aeromerica, New York (1906-1910)",2,1905,"1910, incorpor-ated as a new body, 17 Feb. ","Conference Internationale d'Aeronautique Proces-Verbaux, 12-14 Oct 1905; FAI Conference Statutaire Proces-Verbaux (1906-1910); 1905 NYT, 24 Oct; 1906 NY Herald, 3 Apr.; ACA annuals (1907-1910); P-B of Aeronautics 441 (English ed., Jan. 1907); 1:5 Aeronautics 43-44 (1907); 1:6 Aeronautics 38 (1907); 1908 Intl Motor Cyclopaedia YB 13-14, Trade Dir. 5-6, Geog. Trade Dir. 203; 1907 Boston Daily Globe 9 Aug.; 1909 Baltimore Sun Mar. 28; 1909 NYT, 4 July; 1910 NYT, 13 Jan., 6 & 8 Feb.; 1910 St. Louis Post-Dispatch, 6 & 29-31 Jan.; 1910 BS, 30 Jan.; WorldCat.org and WorldCat-OCLC","Founded 7 June 1905 as a spin-off from the Automobile Club of America to further an interest in ballooning.  One of 8 organizations that met in Paris 12-14 Oct. 1905 to put together the Federation Aeronautique Internationale (FAI).  Filed incorporation papers in NY State in October 1905.  Purposes included to advance the development of the science of aeronautics, to encourage all kinds of aerial navigation, to assist in international congresses, and to hold contests and shows of airships, balloons and other aerial constructions.  Published constitution and by-laws in the 1907 annual.  Primarily a NYC area club, announced 9 Apr. 1908 that it was forming a confederation and had accepted 4 other clubs as affiliates.  Published Articles of Affiliation of Aero Clubs in the U.S. with the ACA in 1909 annual; by then there were 5 affiliates.  First national convention of affiliates held under ACA's auspices in St. Louis in January, 1910.  Was reorganized as new body by its members on 7 Feb. 1910 and new articles were granted 17 Feb. ","Initial officers included Homer W. Hodge, pres.; John F. O'Rourke and Charles J. Gidden, VPs; and Augustus Post, treas., who, with David H. Morris, are considered to be the 5 founding members.  The fifth officer was S.M. Butler, sec., who, like them, was a member of the Automobile Club of America.  In Jan. 1906 staged the aeronautical exhibit at the 6th annual auto club show and exhibited in Grand Central Palace, Dec. 1906 and Oct. 1907.  Promoted 33 balloon ascensions in 1906 and won the first Gordon-Bennett International Cup Race.  In Oct. 1907, organized both the second Gordon-Bennett competition and the aeronautic exhibit at the Jamestown Expo, where it also conducted an aeronautic congress on 28-29 Oct.  Besides officers, there were nearly 30 members as of 2 Apr. 1906.  Some 240 active members listed in 1907 annual, 270 listed in 1909 annual.  The NYT estimated on 4 July 1909 that fewer than half of the 300 odd members had been up in a balloon (in 1908 members made 147 ascensions of record) and that not more than 6 owned balloons.  ","Annual banquets were in March 1907, 1908, and 1909. (See ACA annuals 1908-1910.  Since each banquet date was not reported until the next year, this indicates that the annuals 1907-1908, were published prior to March of each year.)  [Publication of The Aeronautical News monthly began in .......... ]and in 1906 the club was noted as forming a library.  Motor Travel, A Magazine for Automobile Owners, the official organ of the Automobile Club of America was, from May-Oct. 1909, also the official organ of the Motor Boat Club of America and the Aero Club of America.   The may have been the result of what sounds like a short-lived agreement, announced by the ACA on 27 Mar. 1909, that the ACA would become the Aviation Section of the Automobile Club of America.  in late March.  (See Automobile Club of America, Aviation Section.)  The New York Times of 4 July 1909 also reported that members saw the dirgible as dominating the sport of sky sailing within a few years while it would take longer for members to come along in heavier-than-air machines.        ",will try to rewrite at another time to fit into two columns.
Aero Club of America (ACA) (II) ,National Federation and Local Club,"FAI (predeces-sor was founding member, 14 Oct. 1905)  ",USA,"New York City, New York","12 East 42nd St., NYC (1908-1910); United Engineering Socieities Bldg., 29 West 39th St., Ninth Floor, NYC (1910-1911);  new clubhouse and offices in a five-story formerly private dwelling at 297 Madison Ave., at 41st Street, NYC (15 May 1911 to at least 1919). ",Aeroclub New York (1910-1920 or later); Aeroamerica (1910-),Murray Hill 71 and 72; 4321-31 (1910-); [need dates for Murray Hill number],1910,"1922, name change","1908 NTY, 10 Apr.; ACA annuals (1909-1917, 1919); 1910 NYT, 13 Jan., 6 & 8 Feb., and 24 May; 1910 Hartford Courant, 17 Feb.; 1 Aircraft 67 (1910); 1911 Aircraft, 1 May; 1911 NYT, 5 & 16 May, 15 June, and 5 Nov.; 3 Aeronautics 194 (1911); 1 FAI Conference Statutaire Proces-Verbaux (1910, 1912); FAI Conference Extraordinaire, 19-21 May 1919; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); Dir1920;  2:11 Flying 34 (1913); 5 Flying 250 (1916); 15 Aerial Age 583 (1922); www.naa.aero/html/ aboutnaa/; www.loc.gov/rr/ mss/text/aero.htm; www.fai.org/about/history;  ","On becoming a membership corporation in New York State 16 Feb. 1910, a new Aero Club of America succeeded the original Aero Club of America, which see, founded 1905.  The new incorporation certificate was published in the 1910 annual; an amended certificate was in the 1911 annual.  In March 1910 and again in May 1911, it moved to new headquarters.  In early 1910, totalled 328 active and 9 honorary members and 18 affiliated clubs, the first four affiliates having been announced 9 Apr. 1908.  In July 1916, Flying magazine listed 26 affiliates.  In 1921, during the Omaha meet, a new body, the National Air Association, was formed, but it proved only a preliminary attempt to enlist all the aeronautic interests in the U.S.  During the next national meet, at Detroit, 12-14 Oct. 1922, the job was completed when the National Aeronautic Association was formed.  Shortly after the NAA's incorporation 14 Oct. 1922, both the ACA and the National Air Association merged into the NAA and it succeeded the ACA in sanctioning aerial contests in the U.S. under FAI license.                ","The first officers of the new Aero Club of America included Cortlandt Field Bishop, pres.; Samuel H. Valentine, Dave H. Morris, and Clifford B. Harmon, VPs; Charles Jerome Edwards, treas.; William Hawley and Charles H. Heitman, secs.  New officers including Allan A. Ryan, pres., served Nov. 1910-Nov. 1911.  Robert J. Collier was elected president in November 1911 and 1912 but resigned at the start of his second term.  Articles of Affiliation of Aero Clubs in the U.S. with the ACA published in the 1911-1912 ACA annuals provided that the ACA and its members and affiliated clubs could take part in events organized by the ACA, or by other affiliated clubs with the consent of the ACA, or by the National Council, or by FAI member clubs.  Beginning with the 1913 ACA annual, there is no mention of the National Council.  Flying, published Jan. 1912-July 1921, was the official publicaton of the ACA, AC of Illinois, AC of Pennsylvania, Aerial League of the World, and others. ","At the FAI Conference Statutaire in October 1910, the ACA representative reported not only the gas consumed by balloons in the USA but also reported 15 aeroplanes in the country.  The club house at 297 Madison Ave. had been built ca. 1904 as the residence of Col. R. M. Thompson and was leased to the club in 1911 through Messrs. Pease and Elliman for $5,000 a year.  In 1911, the club recognized the flying grounds of the Aero Club of New York on Long Island as its official aerodrome.             ", 
Aero Club of Anvers :       Aero Club d'Anvers,Local,,Belgium,Anvers,110 Rue Mercator (1910),,,1910 or earlier,,"1911 Aero-Manuel 222, 439 (1 Oct. 1910); 1910 Annuario dell' Aeronautica Primo 368 (Sept. 1910); 1921 Brockett",,"Some 22 members, 1910.  General Van Den Borren, was president.  Other officers included:  Baron de Caters and Commandant Chevalier Leclement de Saint-Marco; G. Schack de Brockdorff, treasurer; and Captain Van Meenen, general secretary.  ",,
Aero Club of Argentina : Aero Club Argentino,National,"FAI, from 27 Oct. 1910",Republic of Argentina (Argentine Republic),Buenos Aires,"561 San Martin, Buenos Aires;  (at least 1910-1913); 1325 Alvenida Alvear, Buenos Aires (1914-1919); 26 Calle Florida, Buenos Aires (1916-at least 1919)",Aerobaires (at least 1919-),0,1908,Still exists,"1909 Motor Cyclopaedia YB 109 Misc.; 1910 Boston Daily Globe, 13, 14, & 16 Aug.; ACA annuals (1910-1917, 1919); 1910 FAI Conference Statutaire Proces-Verbaux 17; 1912 FAI Conference Statutaire Proces-Verbaux; FAI Conference Extraordinaire,  19-21 May 1919; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1913 Aviation P-B 158 (Jan. 1913); 1917 Aviation P-B 245; 1918-1919 Aviation P-B 385 (1919); Dir1920; Pre-1956 Imprints; www.aeroclubargentino.com; National Union Catalog  ",Published bulletin irregularly betginning June 1911.,"The Aero Club of Argentina was invited to enter a balloon in the August 1910 Harvard-Boston meet.  (ACA annual 1910 lists as affiliated with Aero Club of America but having no other indication of this, we suspect that this was a mistake though we cannot be certain of this.)",[Needs more research],
Aero Club of Asbury Park,Local,,USA,"Asbury Park, New Jersey",,,,1910,,"1910 NYT, 16 July;","Asbury Park, New Jersey, hotel keepers and business men formed the Aero Club of Asbury Park on 14 July 1910 to promote an aviation meet on the Brower farm near Interlaken for 10 days beginning 10 Aug.  ","Initial officers elected include George W. Pittenger, president; Jesse Minto, vice president; John A. Githens, Jr., secretary, and William A. Berry, treasurer.  ",,
Aero Club of Atlanta,Local,,USA,"Atlanta, Georgia",,,,1909 or earlier,,5 Aeronautics 161 (1909),"By October 1909, members were building and experimenting with gliders and other machines in the new autodrome.",,,
Aero Club of Baltimore,Local,"       ACA,        11 Nov. 1909",USA,"Baltimore, MD",no fixed address (1911-1919),,,1909,1920 or later,"1909 Baltimore Sun, 1, 2, 10 & 19 Oct.; 13 Nov.; 1909 WP, 1 & 2 Oct.; 1910 WP, 23 Jan; 5 Aeronautics 202 (1909); 1910 NYT, 24 May and 23 June; 2:11 Flying 34 (1913); 5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920); ACA annuals (1911-1917, 1919)","The Aero Club of Baltimore was formed and officers elected at a meeting at Baltimore City Hall, 30 Sept. 1909.  It immediately sought affiliation with the Aero Club of America so as to make the aero clubs of both Baltimore and Washington eligible to jointly host the 1910 Gordon Bennett aviation race.  Representatives of the Baltimore and Washington clubs then met on 1 October 1909 and selected a site at College Park, Maryland, to propose to the ACA for the meet.  The committees representing the two-clubs in this venture amalgamated and took the name Washington-Baltimore Aviation Committee on 15 Oct. 1909.  A constitution and bylaws were adopted and articles of incorporation were filed by Aero Club of Baltimore on 18 Oct. 1909.   The ACA approved affiliation on 11 Nov. 1909.","The formation of the club with some 50 members the evening of 30 Sept. 1909 followed a citizens' meeting that morning at which J. Albert Hughes, Everard K. Pattison, and Charles S. Abell  were appointed a committee to complete the preliminaries of organizing the club.  Initial officers elected were Col. Jerome H. Joyce, president; James T. O'Neill, secretary; and Waldo Newcomer, treasurer. ",,
Aero Club of Bar Harbor,Local,,USA,"Bar Harbor, Maine",,,,1910,,"1910 NYT, 15 Aug.; 1910 WP, 28 Aug.; ","An aero club at Bar Harbor, Maine, said to be the first in the state, was formed ca. 14 Aug. 1910 with the backing of a number of summer residents.  Arrangements were being made for an aviation meet for 29-30 August.  Plans for the meet fell through but it was decided that tthe club would stay intact and it was hoped that there would be a meet in the summer of 1911.","Officers elected included Gen. Edward Morell, president, on whose property the meet was to be held; Edward Beale McLean, vice president; Arthur D. Addison, treasurer; and E. S. Clark, secretary.  ",,
Aero Club of Bearn : Aero Club du Bearn,Local,"AeCF, from at least 1910",France,"Pau, Bearn, Basses Pyrenees","Marie de Pau, Pau (1910)",,,1908 or earlier,,"1909 Motor Cyclopaedia YB 110 Misc.; 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 223, 440-442 (1 Oct. 1910); National Union Catalog Pre-1956 Imprints; LOC OPAC; WorldCat.org and WorldCat-OCLC","Bearn was formerly a small frontier province in the south of France, whose capital was Pau (it is now withing the department of Basses-Pyrenees).  The club published statutes, regulations, and list of members in 1908.  We do not know its relation to the Aero Club du Sud-Ouest (Pau), but they appear to have been separate entities.","In 1910 there were some 215 members.  Officers, 1910, included:  Paul Tissandier, president; Speakmann and De Tuite, vice presidents; Henri Sallenave, scretary; and Cougiet, treasurer.  Louis Bleriot was a member.  Earlier in 1910, G. Gass, Colombes, Baillat, and Pontoise appear to have been vice presidents and A. Marchand was secretary.",,
